snapshot_id,budget_ratio,marconi_cost_ms,flowstate_cost_ms,relative_improvement,zero_category
c128-medium-codex-round-333524,1.0,7906.292753706934,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-codex-round-333600,0.25,3925.956869974788,1387.0388249504513,0.6467004424938171,none
c128-medium-codex-round-333600,0.5,3925.956869974788,1387.0388249504513,0.6467004424938171,none
c128-medium-codex-round-333600,0.75,3925.956869974788,1387.0388249504513,0.6467004424938171,none
c128-medium-codex-round-333600,1.0,3925.956869974788,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-codex-round-333618,0.25,5502.9707425248125,1710.9395279312278,0.6890880202742578,none
c128-medium-codex-round-333618,0.5,5502.9707425248125,1710.9395279312278,0.6890880202742578,none
c128-medium-codex-round-333618,0.75,5502.9707425248125,1710.9395279312278,0.6890880202742578,none
c128-medium-codex-round-333618,1.0,5502.9707425248125,0.0,1.0,baseline_nonzero_flow_zero
c128-small-claude-round-101528,0.25,3460.39096837695,3075.369047452492,0.11126543920701748,none
c128-small-claude-round-101528,0.5,3460.39096837695,3075.369047452492,0.11126543920701748,none
c128-small-claude-round-101528,0.75,3460.39096837695,3075.369047452492,0.11126543920701748,none
c128-small-claude-round-101528,1.0,0.0,0.0,,both_zero
c128-small-claude-round-11294,0.25,1638.7102237430354,1071.2466295262577,0.34628672354323525,none
c128-small-claude-round-11294,0.5,1638.7102237430354,1071.2466295262577,0.34628672354323525,none
c128-small-claude-round-11294,0.75,1638.7102237430354,1071.2466295262577,0.34628672354323525,none
c128-small-claude-round-11294,1.0,1071.2466295262577,0.0,1.0,baseline_nonzero_flow_zero
c128-small-claude-round-176285,0.25,5725.837029539185,5701.421468581176,0.004264103367254639,none
c128-small-claude-round-176285,0.5,5725.837029539185,5701.421468581176,0.004264103367254639,none
c128-small-claude-round-176285,0.75,5725.837029539185,5701.421468581176,0.004264103367254639,none
c128-small-claude-round-176285,1.0,48.83112191601857,0.0,1.0,baseline_nonzero_flow_zero
c128-small-claude-round-176505,0.25,1945.2133847071316,1933.7833468794875,0.005875981482291218,none
c128-small-claude-round-176505,0.5,1945.2133847071316,1933.7833468794875,0.005875981482291218,none
c128-small-claude-round-176505,0.75,989.7517490950318,966.8916734397437,0.023096777223369273,none
c128-small-claude-round-176505,1.0,34.29011348293213,0.0,1.0,baseline_nonzero_flow_zero
c128-small-claude-round-19673,0.25,1291.6211169776225,1096.6061323698304,0.15098466728704832,none
c128-small-claude-round-19673,0.5,1291.6211169776225,1096.6061323698304,0.15098466728704832,none
c128-small-claude-round-19673,0.75,1291.6211169776225,1096.6061323698304,0.15098466728704832,none
c128-small-claude-round-19673,1.0,70.50884599038214,0.0,1.0,baseline_nonzero_flow_zero
c128-small-claude-round-198918,0.25,953.0045171247812,953.0045171247812,0.0,none
c128-small-claude-round-198918,0.5,953.0045171247812,953.0045171247812,0.0,none
c128-small-claude-round-198918,0.75,953.0045171247812,953.0045171247812,0.0,none
c128-small-claude-round-198918,1.0,0.0,0.0,,both_zero
c128-small-claude-round-199274,0.25,2610.1587556509526,2291.6629134747027,0.12202163622680474,none
