snapshot_id,allocation_round,lru_ttft_rep1_ms,lru_ttft_rep2_ms,lru_ttft_rep3_ms,lru_mean_ttft_ms,lru_g_rep1_tokens,lru_g_rep2_tokens,lru_g_rep3_tokens,lru_mean_g_tokens,marconi_ttft_rep1_ms,marconi_ttft_rep2_ms,marconi_ttft_rep3_ms,marconi_mean_ttft_ms,marconi_g_rep1_tokens,marconi_g_rep2_tokens,marconi_g_rep3_tokens,marconi_mean_g_tokens,flowstate_ttft_rep1_ms,flowstate_ttft_rep2_ms,flowstate_ttft_rep3_ms,flowstate_mean_ttft_ms,flowstate_g_rep1_tokens,flowstate_g_rep2_tokens,flowstate_g_rep3_tokens,flowstate_mean_g_tokens,lru_minus_flowstate_ttft_ms,lru_minus_flowstate_ttft_relative,marconi_minus_flowstate_ttft_ms,marconi_minus_flowstate_ttft_relative,lru_minus_flowstate_g_tokens,marconi_minus_flowstate_g_tokens
rq3-openhands-main-g069-round3,3,161.98592625,159.3238545,159.081741,160.13050725000002,2815.75,2815.75,2815.75,2815.75,193.547414,194.63171325,194.26814925,194.1490921666667,3903.75,3903.75,3903.75,3903.75,102.15203375,100.53399974999999,101.93671475,101.54091608333333,1215.75,1215.75,1215.75,1215.75,58.58959116666669,0.365886502034213,92.60817608333336,0.47699515382659713,1600.0,2688.0
rq3-openhands-main-g005-round3,3,180.505613,178.8046525,180.3763725,179.895546,2368.0,2368.0,2368.0,2368.0,178.2390145,178.8819795,178.311961,178.47765166666667,2368.0,2368.0,2368.0,2368.0,132.117807,131.60313125,132.235445,131.98546108333332,1120.0,1120.0,1120.0,1120.0,47.910084916666676,0.2663216848996733,46.492190583333354,0.2604930653736098,1248.0,1248.0
rq3-openhands-main-g122-round4,4,158.964002,158.65224675,155.96559275,157.86061383333333,2816.0,2816.0,2816.0,2816.0,111.89433675000001,110.2820885,108.868272,110.34823241666668,1536.0,1536.0,1536.0,1536.0,59.15383625,59.019990500000006,59.33067425,59.168167000000004,0.0,0.0,0.0,0.0,98.69244683333332,0.6251872739930633,51.18006541666667,0.4638050315424589,2816.0,1536.0
rq3-openhands-main-g050-round4,4,175.574619,174.815025,177.8117615,176.06713516666665,2608.0,2608.0,2608.0,2608.0,177.24904075,177.7541415,175.38843125,176.7972045,2640.0,2640.0,2640.0,2640.0,81.989559,81.29051475,81.9440145,81.74136275,0.0,0.0,0.0,0.0,94.32577241666665,0.5357375317510396,95.05584175,0.5376546649525785,2608.0,2640.0
rq3-openhands-main-g058-round4,4,225.3327645,223.36207525,224.531619,224.40881958333333,4704.0,4704.0,4704.0,4704.0,109.77742925,108.05060775000001,107.684323,108.50412,1616.0,1616.0,1616.0,1616.0,51.30308975,51.42655575,52.37806875,51.702571416666665,0.0,0.0,0.0,0.0,172.70624816666665,0.7696054392484912,56.801548583333336,0.5234966984049393,4704.0,1616.0
rq3-openhands-main-g078-round4,4,169.5328385,167.556537,167.453319,168.18089816666665,3040.0,3040.0,3040.0,3040.0,109.17367825,102.5794665,103.80447875,105.1858745,1344.0,1344.0,1344.0,1344.0,56.428340000000006,54.81248575,55.29413025,55.511652000000005,0.0,0.0,0.0,0.0,112.66924616666665,0.6699289122300431,49.67422249999999,0.47225183738905924,3040.0,1344.0
rq3-openhands-main-g070-round4,4,261.21041425,283.25753225,257.38383175,267.28392608333337,2832.0,2832.0,2832.0,2832.0,199.45573124999999,197.65131250000002,196.5908855,197.89930975000001,1328.0,1328.0,1328.0,1328.0,156.70301949999998,154.678965,154.71584675,155.36594375,0.0,0.0,0.0,0.0,111.91798233333336,0.4187232055938887,42.533366,0.21492427666236466,2832.0,1328.0
rq3-openhands-main-g094-round4,4,232.38390425,232.96327275,231.24411099999998,232.197096,3456.0,3456.0,3456.0,3456.0,172.13032,173.6408405,172.0257065,172.59895566666668,1680.0,1680.0,1680.0,1680.0,115.08987524999999,111.12847975,112.1178925,112.77874916666667,0.0,0.0,0.0,0.0,119.41834683333332,0.5142973314073374,59.82020650000001,0.34658498522742126,3456.0,1680.0
rq3-openhands-main-g171-round5,5,107.2316835,107.587373,104.90663275,106.57522975,1920.0,1920.0,1920.0,1920.0,86.7912845,87.023331,86.00809375,86.60756975,1312.0,1312.0,1312.0,1312.0,42.40721225,41.13497825,41.01058075,41.51759041666667,0.0,0.0,0.0,0.0,65.05763933333333,0.610438649636909,45.089979333333325,0.5206239993050183,1920.0,1312.0
rq3-openhands-main-g199-round5,5,153.8852075,148.486685,149.688206,150.6866995,2880.0,2880.0,2880.0,2880.0,49.43528175,47.52511725,49.90061275,48.95367058333333,0.0,0.0,0.0,0.0,49.67632425,48.151565500000004,47.93953075,48.589140166666674,0.0,0.0,0.0,0.0,102.09755933333332,0.6775485804129204,0.3645304166666534,0.007446436851882579,2880.0,0.0
rq3-openhands-main-g167-round5,5,92.39602275,90.88335699999999,92.13720825,91.80552933333333,1488.0,1488.0,1488.0,1488.0,101.3995915,100.36030749999999,100.367676,100.70919166666665,1872.0,1872.0,1872.0,1872.0,43.1085355,46.78084675,41.756134,43.88183875000001,0.0,0.0,0.0,0.0,47.92369058333332,0.5220131176340038,56.82735291666665,0.564271760861285,1488.0,1872.0
rq3-openhands-main-g043-round5,5,135.18999825,133.9118855,136.44493325,135.18227233333334,2384.0,2384.0,2384.0,2384.0,47.449865,46.61144525,44.682327,46.24787908333334,0.0,0.0,0.0,0.0,46.11988125,45.79704425,46.6355065,46.184144,0.0,0.0,0.0,0.0,88.99812833333334,0.6583565048668598,0.06373508333333433,0.0013781190531676289,2384.0,0.0
rq3-openhands-main-g015-round5,5,144.37616725,140.99306525,141.17148724999998,142.18023991666666,2784.0,2784.0,2784.0,2784.0,42.66994175,42.732341,43.11851225,42.840264999999995,96.0,96.0,96.0,96.0,72.8428775,45.688638,44.0707475,54.20075433333333,0.0,0.0,0.0,0.0,87.97948558333334,0.6187884169762201,-11.360489333333334,-0.26518251773963897,2784.0,96.0
rq3-openhands-main-g119-round5,5,206.07741975,204.9687455,206.860431,205.96886541666666,3072.0,3072.0,3072.0,3072.0,94.73939575,95.43290775,94.34379,94.83869783333334,0.0,0.0,0.0,0.0,92.64827575,93.895806,93.22066675,93.25491616666666,0.0,0.0,0.0,0.0,112.71394925,0.547237802286206,1.583781666666681,0.016699740747705867,3072.0,0.0
