workflow_count,budget_checkpoints,budget_ratio,policy_name,selected_checkpoint_ids,total_recovery_gap,mean_recovery_gap_per_request,planning_executable_prefix_ratio,estimated_recovery_cost_ms,selection_runtime_ms
16,12,0.75,Marconi-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN,86016,1433.6,0.9066666666666666,3816.702625248581,0.10283803567290306
16,12,0.75,Oracle,W16_A04096_F08_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,36864,614.4,0.96,1629.6921204775572,0.0011690426617860794
16,16,1.0,FlowState,W16_A32768_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F04_MAIN;W16_A08192_F08_MAIN;W16_A32768_F02_MAIN;W16_A16384_F02_MAIN;W16_A08192_F04_MAIN;W16_A32768_F01_MAIN;W16_A04096_F08_MAIN;W16_A16384_F01_MAIN;W16_A08192_F02_MAIN;W16_A04096_F04_MAIN;W16_A08192_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F01_MAIN,0,0.0,1.0,0.0,46.70983296819031
16,16,1.0,Global-LRU,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN;W16_A08192_F02_MAIN;W16_A08192_F01_SHALLOW;W16_A08192_F01_MAIN;W16_A04096_F08_MAIN,28672,477.8666666666667,0.9688888888888889,1251.102692214772,0.029237009584903717
16,16,1.0,Equal-Share,W16_A04096_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F04_MAIN;W16_A04096_F08_MAIN;W16_A08192_F01_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,0,0.0,1.0,0.0,0.19141007214784622
16,16,1.0,Recovery-Only,W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_SHALLOW;W16_A16384_F01_SHALLOW;W16_A08192_F01_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A08192_F01_SHALLOW;W16_A04096_F01_MAIN,57344,955.7333333333333,0.9377777777777778,2502.205384429544,5.288684042170644
16,16,1.0,Workflow-Only,W16_A04096_F08_MAIN;W16_A08192_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F08_MAIN;W16_A04096_F04_MAIN;W16_A08192_F04_MAIN;W16_A16384_F04_MAIN;W16_A32768_F04_MAIN;W16_A04096_F02_MAIN;W16_A08192_F02_MAIN;W16_A16384_F02_MAIN;W16_A32768_F02_MAIN;W16_A04096_F01_MAIN;W16_A08192_F01_MAIN;W16_A16384_F01_MAIN;W16_A32768_F01_MAIN,0,0.0,1.0,0.0,3.8895970210433006
16,16,1.0,KVFlow-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN;W16_A08192_F02_MAIN;W16_A08192_F01_SHALLOW;W16_A08192_F01_MAIN;W16_A04096_F08_MAIN,28672,477.8666666666667,0.9688888888888889,1251.102692214772,0.43730810284614563
16,16,1.0,Marconi-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN;W16_A08192_F02_MAIN;W16_A08192_F01_SHALLOW;W16_A08192_F01_MAIN;W16_A04096_F08_MAIN,28672,477.8666666666667,0.9688888888888889,1251.102692214772,0.10616891086101532
16,16,1.0,Oracle,W16_A04096_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F04_MAIN;W16_A04096_F08_MAIN;W16_A08192_F01_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,0,0.0,1.0,0.0,0.0010600779205560684
